Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Epochs,Learning Rate,embedding_size,freeze_embedding,hidden1_size,hidden2_size,hidden3_size,hidden4_size,model_name,optimizer,test_bas,test_loss,train_bas,train_loss,validation_bas,validation_loss
2022-10-22 12:56:25,,ece799672e444fb5b1961f920734c09a,receptive-hound-102,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,RUNNING,80,,300,True,512,256,,,mlp3,optim.SGD_lr=0.001_momentum=0.9,,,0.0016283075281315045,6.448879425808376,0.0013580966180464047,6.448879958894606
2022-10-22 09:13:24,7.8min,da714aecc1a34c999d727424348df1a9,resilient-goose-591,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,50,,300,True,512,256,128,64,mlp2_only5Cat,optim.SGD_lr=0.01_momentum=0.9,,,0.7324966614595795,1.0995743809075191,0.11987137340066437,1.762306307433942
2022-10-22 08:52:34,2.4min,3148f6ff37164244b68385d472578dc8,invincible-moth-133,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FAILED,50,,300,True,512,256,128,64,mlp2_only5Cat,optim.SGD_lr=0.01_momentum=0.9,,,0.2,1.603290223801273,,
2022-10-22 08:45:56,2.0min,db5bdb3ca2c74759ac309c15b7819be0,gifted-owl-9,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FAILED,50,,300,True,512,256,128,64,mlp2_only5Cat,optim.SGD_lr=0.01_momentum=0.9,,,0.19909646873073633,1.6045844574084227,,
2022-10-22 08:22:37,6.8min,59e24a082eab44228496f4bc1a1c45b3,thundering-mouse-302,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,50,,300,True,512,256,128,64,mlp2_only5Cat,optim.SGD_lr=0.01_momentum=0.9,0.18289881144977244,1.7067064344882965,0.7340799290930382,1.0980557799339294,,
2022-10-18 17:03:02,28.7min,c089b1e714424bc1a2cb93cd240d3eef,nervous-stoat-948,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,250,,300,True,512,256,128,64,mlp2_only5Cat,optim.SGD_lr=0.01_momentum=0.9,0.13548704674389006,1.7463403344154358,0.7755952051115835,1.0550709187299356,,
2022-10-18 16:29:51,20.3min,5513577b34084cb887078c25f9cb685a,wistful-trout-359,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,150,,300,True,512,256,128,64,mlp2_only5Cat,optim.SGD_lr=0.01_momentum=0.9,0.23001548782329212,1.648322433233261,0.7733710981426334,1.0602281218287588,,
2022-10-18 16:10:32,6.5min,5215dc5391d5474a9a8c79c70f23efca,nosy-ape-906,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,50,,300,True,512,256,128,64,mlp2_only5Cat,optim.SGD_lr=0.01_momentum=0.9,0.23616773442050087,1.664355844259262,0.347059982282234,1.462177230297834,,
2022-10-18 15:58:44,4.1min,611473e5671e4a40b784e173d51015c8,worried-smelt-529,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,20,,300,True,512,256,128,64,mlp2_only5Cat,optim.SGD_lr=0.001_momentum=0.9,0.2,1.613208919763565,0.2,1.597547269141537,,
2022-10-15 19:17:34,16.1min,5c066ed980ce49728ddb70f0e1178bf1,sincere-sheep-396,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,150,,300,True,128,64,,,mlp1_only5Cat,optim.SGD_lr=0.001_momentum=0.9,0.19409309950602902,1.6889394223690033,0.8880556365201835,1.03139054898558,,
2022-10-15 18:51:29,9.3min,3bd77b0f7d934c0ab96d78c170129448,bemused-fish-691,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,100,,300,True,128,64,,,mlp1_only5Cat,optim.SGD_lr=0.001_momentum=0.9,0.24989788390603768,1.6327946782112122,,1.0816424724699436,,
2022-10-15 13:59:40,11.8min,bc5d7ebdb42544bfbe3c10f4a6ed7ca6,adventurous-fawn-975,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,100,,300,True,128,64,,,mlp1_only5Cat,optim.SGD_lr=0.001_momentum=0.9,0.16453914018852864,1.7152855098247528,,1.0888722521135177,,
2022-10-15 13:45:12,8.8min,d5f5c27bfd4946a4bdcc87ef44d7107c,kindly-elk-295,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,50,,300,True,128,64,,,mlp1_only5Cat,optim.SGD_lr=0.001_momentum=0.9,0.18809348778015053,1.6677593886852264,,1.1867114330160207,,
2022-10-15 13:30:37,5.8min,47ed71436d9042c6a9ed0162cbcd8f2c,indecisive-ray-816,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,50,,300,True,128,64,,,mlp1_only5Cat,optim.SGD_lr=0.001_momentum=0.9,0.17199094027049763,1.6584805250167847,,1.2198167137716007,,
2022-10-14 10:24:21,3.0min,e99f973e715546ad8f0095382f292109,thoughtful-snake-300,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,10,,300,True,128,64,,,mlp1_only5Cat,optim.SGD_lr=0.001_momentum=0.9,0.2,1.6112436056137085,,1.5968587521849007,,
2022-10-14 09:48:17,2.7min,6c2262a3d63148b391ddf179f41040d7,victorious-hawk-270,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,10,,300,True,128,64,,,mlp1_only5Cat,optim.SGD_lr=0.001_momentum=0.9,0.19405940594059407,1.6122051179409027,,1.5938742928121281,,
2022-10-14 09:41:20,2.7min,1027e76eb7374b23bd013f83100b437c,silent-trout-55,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,10,,300,True,128,128,,,mlp1_only5Cat,optim.SGD_lr=0.0005_momentum=0.5,0.2,1.6101866960525513,,1.6073561799937282,,
2022-10-14 09:29:41,2.4min,cbc5f10d366b479f9293dc337338a9c6,bustling-newt-905,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,5,,300,True,128,128,,,mlp1_only5Cat,,0.1999805862939235,1.610904186964035,,1.6018605259643204,,
2022-10-14 09:19:04,3.1min,c71a25e3d55041b9945ebf100ec1fe9f,bedecked-bug-365,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,15,,300,True,128,128,,,mlp1_only5Cat,,0.19559308872063677,1.6134941279888153,,1.5860164757432609,,
2022-10-14 09:12:02,2.2min,bc872947f11f4a878f7654a841af0674,respected-asp-981,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,,,300,True,128,128,,,mlp1_only5Cat,,0.16966608425548438,1.6096242368221283,,1.6076798293782377,,
2022-10-14 09:07:57,2.2min,3755159f26af41e18feaf677fb10341b,judicious-chick-373,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,,,300,True,128,128,,,mlp1_only4Cat,,0.004,6.44878876209259,,6.448791221092487,,
